step,mean_return,std_return
1000,-199.70023040725567,167.4969864850302
2000,-292.74967549586137,155.09611489728798
3000,-294.80877524871937,104.32346259799513
4000,-380.49411590511727,105.5923158270492
5000,-370.1859350681194,115.11392918131523
6000,-334.2911023283953,134.31960691954347
7000,-296.8853404425969,157.11939889580015
8000,-215.68670326730575,92.59859076045339
9000,-175.62497390552477,142.47831460699695
10000,-200.02702916152916,166.38170912570152
11000,-222.0881972030238,169.6830892832195
12000,-235.79457808007882,185.3240773302314
13000,-218.42867904560535,193.68553489388705
14000,-198.46070342769505,204.25388635094507
15000,-217.5116092989477,177.84055125472622
16000,-194.70418506331103,185.16605663464523
17000,-150.29749850233648,160.86327021375237
18000,-67.8641395626822,133.07351423605493
19000,-49.04499070599421,130.39451863620292
20000,-56.83027586178364,127.7610802397576
