step,mean_return,std_return
1000,-144.3108534732857,74.02844303329208
2000,-82.55814050563899,17.140537082111276
3000,-77.31221940394217,14.093413555482993
4000,-99.48474394381927,42.16463311826036
5000,-80.88666779688909,44.18208298152342
6000,-88.07846175504692,31.994052866829076
7000,-79.19689706153059,48.345958123378985
8000,-93.17742572526791,40.99340361350947
9000,-81.34639252674813,50.957568873565506
10000,-73.80260783700444,57.59303365437167
11000,-82.2387899455546,25.590086665191524
12000,-85.63469533186829,23.19164153648819
13000,-58.838713609398916,32.13869601095654
14000,-98.90454754640584,73.39704309681838
15000,-96.54991174338502,30.80662967155023
16000,-54.625504216211894,41.19657925296952
17000,-82.209603444295,20.911282304354536
18000,-79.8393778459716,19.685478577601742
19000,-89.81894137475163,31.212301436350483
20000,-83.55449045808696,21.54832579034784
