step,mean_return,std_return
1000,-247.17390404093106,149.08903283759773
2000,-225.9461162567971,138.0237577586487
3000,-192.76782387817497,113.09236629459257
4000,-191.5839382465777,61.95141375569074
5000,-170.18484760597087,74.87622570495566
6000,-149.52931310720538,63.00228116557592
7000,-130.40289170069244,82.93418051519012
8000,-157.4624315317564,103.21775576118915
9000,-162.47539753898988,99.14054256362834
10000,-158.4310748410279,118.14200922826379
11000,-141.0924163060299,116.66890027554076
12000,-109.41190937147766,113.80684956326057
13000,-115.59501956522543,111.11642412382113
14000,-110.72019485057479,113.12598682428089
15000,-82.62098070838363,80.62241229177232
16000,-76.54440458729559,80.93697955662202
17000,-81.04361783438897,82.14409795064311
18000,-61.13898659693982,37.0454422767231
19000,-66.61716995909072,33.69537140377271
20000,-79.74292137104096,48.570896531277945
