step,mean_return,std_return
1000,-198.07456700876054,58.851694687931996
2000,-208.47714093042492,107.71198342234935
3000,-109.6864999313595,52.76596121933054
4000,-170.5950991360586,153.8608197250458
5000,-151.74157722302692,73.48840616612318
6000,-139.57978397204403,51.75505725140566
7000,-138.494269390709,58.96837311799827
8000,-121.51707458370826,37.5727937169226
9000,-201.99253510243074,99.66947174479265
10000,-179.7847911888786,68.36842023988875
11000,-127.39651108917079,23.795680538330497
12000,-137.24237313779582,40.55260737274759
13000,-191.9440814923341,107.81022486426977
14000,-131.41853546741544,71.66356761500792
15000,-205.5051723717223,72.83993711571466
16000,-190.58129693888105,124.08757484647103
17000,-226.94728126397143,90.2239838112253
18000,-163.4380594351262,108.17198879255196
19000,-167.6379715463549,87.92627367306133
20000,-200.49675301094106,75.24681189553608
