step,mean_return,std_return
1000,-272.41021967142376,109.74878998235984
2000,-256.51659232581676,110.93894276211263
3000,-255.18383966342662,97.57485322611265
4000,-265.1334446051941,56.00204323029112
5000,-329.87305626689243,91.817431906406
6000,-330.91034582737564,115.98407958899055
7000,-309.4527081547339,133.24475539357277
8000,-300.1533016150952,144.50151842244233
9000,-282.90066593758144,156.64415093212887
10000,-210.76085105156608,150.11861480604605
11000,-184.3715044711908,130.07242872662877
12000,-137.3683514700234,86.97160768599147
13000,-143.57397296085395,87.20031659394944
14000,-170.2089487581065,95.45661818790046
15000,-181.29447052117624,83.42669714570835
16000,-172.0330391745524,82.56814567319304
17000,-174.67793280279997,84.77621791032236
18000,-151.21598201792443,84.59063392663849
19000,-157.09382758818884,76.57131388677088
20000,-148.87237533722003,76.22355922175458
