step,mean_return,std_return
1000,-206.94980441416408,68.22288866539049
2000,-208.85853989980754,85.09966715421619
3000,-206.4557812441181,88.23713249994613
4000,-216.47172935195863,99.70643586240612
5000,-226.80716212881362,97.92934191550883
6000,-242.98929006512284,118.8471644709617
7000,-211.65918303815573,129.75853438130068
8000,-203.0267819253603,138.403192381422
9000,-191.97506031918542,131.5450308676534
10000,-190.3245859027707,132.31374269125942
11000,-207.42053356928233,131.1548717801021
12000,-189.0452713589745,124.76326138256324
13000,-197.24838356643096,127.58619947497941
14000,-164.5878889407726,89.58187849511307
15000,-153.37294835093206,84.74311560530258
16000,-165.8902787352674,73.73888001780746
17000,-171.4147092810831,64.88194121400971
18000,-165.237764529735,62.27928183953401
19000,-169.3245337765436,60.589865991998884
20000,-175.64419848543554,54.793296841745786
