step,mean_return,std_return
1000,-165.99423513521657,72.09342364656794
2000,-184.57636436448485,49.421395179093125
3000,-188.27876006013037,100.56445904498811
4000,-348.85717900480734,169.98225210566966
5000,-343.36170372446065,159.93312243398907
6000,-150.06908848026097,115.04467567935167
7000,-218.94648729468608,145.06526862750462
8000,-157.51129000770396,21.951872125634708
9000,-213.85212299270296,135.4827432640223
10000,-157.8430751327175,95.91290253347043
11000,-83.02464297696247,68.46621627531583
12000,-428.6944771394368,76.94347288204528
13000,-250.4752345239962,61.34014698004574
14000,-131.53236115762644,98.2701483125014
15000,-155.50043037005491,96.10922524360689
16000,-180.6570090740457,105.10493834206557
17000,-249.70288050203786,68.27604381113562
18000,-191.253749231238,117.78940144615025
19000,-308.9486113281172,186.86714233196298
20000,-179.0555337858857,155.3442774281025
