step,mean_return,std_return
1000,-123.99782188765911,28.715648381479188
2000,-201.35453510015694,139.68215070351556
3000,-178.9190345644451,95.00839402106136
4000,-162.49802366478102,22.33154602404465
5000,-215.7739086285329,84.80313483460512
6000,-222.2705538531014,103.50156406251958
7000,-218.09069308545827,129.04545398843047
8000,-193.41310021075896,74.8109964777366
9000,-171.72594177154218,98.42221304504699
10000,-181.4676417820076,134.79415076910504
11000,-249.80703402592673,115.95433741602288
12000,-197.40066720321875,113.50441986762283
13000,-288.53449678534054,150.00607194260502
14000,-337.77764806204476,183.630998554384
15000,-123.99756603899723,49.48552547972806
16000,-163.11101766038104,108.03448757049364
17000,-100.40440578002388,65.71079163711066
18000,-167.004948040897,144.54882959000506
19000,-200.42448871376945,143.2957468837007
20000,-133.58470517297664,48.318887755481256
