step,mean_return,std_return
1000,-176.38367663378958,69.44783615558349
2000,-349.43646056327464,122.14791001291421
3000,-293.82510422569305,123.11551375225379
4000,-205.79577008031202,140.71805258001064
5000,-172.9075283441875,103.85226770266715
6000,-241.5763975991387,100.84476368064338
7000,-172.7785095373161,97.27772411809865
8000,-122.05683818440068,42.60763588743163
9000,-139.58298209861277,103.52193934688985
10000,-219.5648228735693,91.1713327611934
11000,-172.4691517355166,54.9556878992481
12000,-120.92252860302592,58.60611138918392
13000,-203.434827042917,70.96450971626143
14000,-200.6347642204643,128.60240361688346
15000,-169.65072778883194,77.0038871813668
16000,-119.4396682289217,50.245373942234615
17000,-178.46486529737544,90.424614089435
18000,-177.92843540699013,110.63108756219937
19000,-186.4616720742516,72.0605282007445
20000,-115.14031828298292,125.97988785642794
